STT,Datetime,ProcessingTime,empty,empty_Conf,excess_solder,excess_solder_Conf,exposed_copper,exposed_copper_Conf,misaligned_header,misaligned_header_Conf,missing_component,missing_component_Conf,scratched,scratched_Conf,solder_bridge,solder_bridge_Conf,Status
109,20260506_174600,0.064,1,0.28,0,,0,,0,,0,,0,,0,,1
110,20260506_174602,0.066,0,,1,0.70,0,,0,,0,,0,,0,,1
111,20260506_174604,0.068,0,,1,0.50,0,,1,0.79,1,0.57,0,,1,0.55,1
112,20260506_174606,0.066,0,,0,,1,0.25,0,,0,,1,0.75,0,,1
113,20260506_174607,0.068,0,,1,0.71,1,0.71,0,,1,0.84,1,0.76,1,0.64,1
114,20260506_174609,0.062,1,0.49,0,,0,,0,,0,,0,,0,,1
115,20260506_174611,0.067,1,0.26,0,,0,,0,,0,,0,,0,,1
116,20260506_174613,0.070,0,,1,0.69,0,,0,,0,,0,,0,,1
117,20260506_174614,0.069,0,,1,0.50,0,,1,0.79,1,0.56,0,,1,0.57,1
118,20260506_174616,0.065,0,,0,,0,,0,,0,,1,0.75,0,,1
119,20260506_174618,0.070,0,,1,0.71,1,0.72,0,,1,0.84,1,0.76,1,0.64,1
120,20260506_174620,0.068,1,0.50,0,,0,,0,,0,,0,,0,,1
121,20260506_174621,0.117,1,0.28,0,,0,,0,,0,,0,,0,,1
122,20260506_174623,0.068,0,,1,0.68,0,,0,,0,,0,,0,,1
